t_uid,mr_id,tstamp,anomalous,expected,max,min,value
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 21:50:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,54664.545454545456
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 21:55:00.000+0000,False,54684.112013474136,62268.531504505139,47118.309442957652,54071.066666666666
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 22:00:00.000+0000,False,54684.112013474136,62268.531504505139,47118.309442957652,54394.599999999999
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 22:05:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,54592.066666666666
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 22:10:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,54430.466666666667
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 22:15:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,54931.066666666666
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 22:20:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,53103.466666666667
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 22:25:00.000+0000,False,54684.112013474136,62268.531504505139,47118.309442957652,53787.400000000001
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 22:30:00.000+0000,False,54684.112013474136,62268.531504505139,47118.309442957652,54291.875
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 22:35:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,55661
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 22:40:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,54996.066666666666
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 22:45:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,54426.400000000001
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 22:50:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,53867.857142857145
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 22:55:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,55302.26666666667
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 23:00:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,53828.533333333333
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 23:05:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,54415
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 23:10:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,54525.066666666666
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 23:15:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,55309.866666666669
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 23:20:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,54457
